event,pt,utc,signal_id,market_type,market_name,runner_name,entry_order_side,book_side,price,stake,liability,free_balance,fill_utc,exit_utc,pnl_proxy,pnl_status,note
PLACE,1493557511250,2017-04-30T13:05:11.250000Z,1,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,ATB,1.58,4.0,2.320000,1000.000000,2017-04-30T13:05:11.335000Z,2017-04-30T13:05:12.033000Z,0.282353,EXIT_FOUND,placed
PLACE,1493557511250,2017-04-30T13:05:11.250000Z,1,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.24,4.0,0.960000,997.680000,2017-04-30T13:05:11.443000Z,2017-04-30T13:05:12.033000Z,0.21374,EXIT_FOUND,placed
FILL,1493557511500,2017-04-30T13:05:11.500000Z,1,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,ATB,1.58,4.0,2.320000,996.720000,2017-04-30T13:05:11.335000Z,2017-04-30T13:05:12.033000Z,0.282353,EXIT_FOUND,fill_proxy
FILL,1493557511500,2017-04-30T13:05:11.500000Z,1,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.24,4.0,0.960000,996.720000,2017-04-30T13:05:11.443000Z,2017-04-30T13:05:12.033000Z,0.21374,EXIT_FOUND,fill_proxy
EXIT,1493557512250,2017-04-30T13:05:12.250000Z,1,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,ATB,1.58,4.0,2.320000,996.720000,2017-04-30T13:05:11.335000Z,2017-04-30T13:05:12.033000Z,0.282353,EXIT_FOUND,exit_proxy
EXIT,1493557512250,2017-04-30T13:05:12.250000Z,1,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.24,4.0,0.960000,999.322353,2017-04-30T13:05:11.443000Z,2017-04-30T13:05:12.033000Z,0.21374,EXIT_FOUND,exit_proxy
PLACE,1493557606250,2017-04-30T13:06:46.250000Z,2,TOTAL_GOALS,Total Goals,3 goals or more,LAY,ATB,1.57,4.0,2.280000,1000.496093,2017-04-30T13:06:49.059000Z,2017-04-30T13:06:57.052000Z,0.284024,EXIT_FOUND,placed
PLACE,1493557606250,2017-04-30T13:06:46.250000Z,2,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.24,4.0,0.960000,998.216093,2017-04-30T13:06:47.651000Z,2017-04-30T13:06:48.229000Z,0.155039,EXIT_FOUND,placed
FILL,1493557607750,2017-04-30T13:06:47.750000Z,2,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.24,4.0,0.960000,997.256093,2017-04-30T13:06:47.651000Z,2017-04-30T13:06:48.229000Z,0.155039,EXIT_FOUND,fill_proxy
EXIT,1493557608250,2017-04-30T13:06:48.250000Z,2,MATCH_ODDS,Match Odds,Man City,LAY,ATB,1.24,4.0,0.960000,997.256093,2017-04-30T13:06:47.651000Z,2017-04-30T13:06:48.229000Z,0.155039,EXIT_FOUND,exit_proxy
